SSA,C%,H/C,O/C,E,S,A,B,V,log(Kd)
0.142,0.857142857,0.166666667,4.17e-07,1.22,1.29,0.17,1.01,1.6196,0.45909079
0.317,0.857142857,0.166666667,4.17e-07,1.22,1.29,0.17,1.01,1.6196,0.506910726
0.268,0.384,0.125,4.17e-07,1.22,1.29,0.17,1.01,1.6196,-0.503070352
0.29,0.384,0.125,4.17e-07,1.22,1.29,0.17,1.01,1.6196,-0.301029996
0.332,0.384,0.125,4.17e-07,1.22,1.29,0.17,1.01,1.6196,-0.721246399
2.088,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,3.681241237
0.66,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,3.886587246
5.791,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,3.997095009
0.248,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,3.407083388
0.164,0.625,0.066666667,0.533333333,1.34,0.92,0.0,0.2,1.0854,3.910337024
0.15,0.857142857,0.166666667,2.78e-07,1.34,0.92,0.0,0.2,1.0854,3.49560466
0.094,0.5,0.111111111,0.888888889,1.34,0.92,0.0,0.2,1.0854,2.610177882
2.088,0.857142857,0.166666667,4.17e-07,1.5,1.06,0.0,0.25,1.3565,3.607261185
0.66,0.857142857,0.166666667,4.17e-07,1.5,1.06,0.0,0.25,1.3565,4.030575912
0.248,0.857142857,0.166666667,4.17e-07,1.5,1.06,0.0,0.25,1.3565,3.316824263
0.164,0.625,0.066666667,0.533333333,1.5,1.06,0.0,0.25,1.3565,3.930439595
0.15,0.857142857,0.166666667,2.78e-07,1.5,1.06,0.0,0.25,1.3565,3.581608366
0.094,0.5,0.111111111,0.888888889,1.5,1.06,0.0,0.25,1.3565,2.770325913
0.66,0.857142857,0.166666667,4.17e-07,2.38,1.55,0.0,0.24,1.5846,4.096214585
5.791,0.857142857,0.166666667,4.17e-07,2.38,1.55,0.0,0.24,1.5846,4.163269826
0.248,0.857142857,0.166666667,4.17e-07,2.38,1.55,0.0,0.24,1.5846,3.957447649
0.164,0.625,0.066666667,0.533333333,2.38,1.55,0.0,0.24,1.5846,4.185636577
0.15,0.857142857,0.166666667,2.78e-07,2.38,1.55,0.0,0.24,1.5846,3.686380877
0.094,0.5,0.111111111,0.888888889,2.38,1.55,0.0,0.24,1.5846,2.872978312
2.088,0.857142857,0.166666667,4.17e-07,2.81,1.71,0.0,0.28,1.5846,4.86923172
0.66,0.857142857,0.166666667,4.17e-07,2.81,1.71,0.0,0.28,1.5846,4.871572936
5.791,0.857142857,0.166666667,4.17e-07,2.81,1.71,0.0,0.28,1.5846,5.100370545
0.248,0.857142857,0.166666667,4.17e-07,2.81,1.71,0.0,0.28,1.5846,4.329601248
0.164,0.625,0.066666667,0.533333333,2.81,1.71,0.0,0.28,1.5846,4.802694191
0.15,0.857142857,0.166666667,2.78e-07,2.81,1.71,0.0,0.28,1.5846,3.763427994
0.094,0.5,0.111111111,0.888888889,2.81,1.71,0.0,0.28,1.5846,1.966576245
2.088,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,3.750463016
0.66,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,4.051509819
5.791,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,3.997095009
0.248,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,3.394934499
0.164,0.625,0.066666667,0.533333333,1.34,0.92,0.0,0.2,1.0854,3.704342788
0.094,0.5,0.111111111,0.888888889,1.34,0.92,0.0,0.2,1.0854,2.663057448
2.088,0.857142857,0.166666667,4.17e-07,1.5,1.06,0.0,0.25,1.3565,3.850992318
0.66,0.857142857,0.166666667,4.17e-07,1.5,1.06,0.0,0.25,1.3565,4.287457188
5.791,0.857142857,0.166666667,4.17e-07,1.5,1.06,0.0,0.25,1.3565,3.832898764
0.248,0.857142857,0.166666667,4.17e-07,1.5,1.06,0.0,0.25,1.3565,3.583576586
0.164,0.625,0.066666667,0.533333333,1.5,1.06,0.0,0.25,1.3565,3.722353823
0.094,0.5,0.111111111,0.888888889,1.5,1.06,0.0,0.25,1.3565,2.797456406
2.088,0.857142857,0.166666667,4.17e-07,2.38,1.55,0.0,0.24,1.5846,4.287457188
5.791,0.857142857,0.166666667,4.17e-07,2.38,1.55,0.0,0.24,1.5846,4.558903074
0.248,0.857142857,0.166666667,4.17e-07,2.38,1.55,0.0,0.24,1.5846,4.084320886
0.164,0.625,0.066666667,0.533333333,2.38,1.55,0.0,0.24,1.5846,3.915079839
0.15,0.857142857,0.166666667,2.78e-07,2.38,1.55,0.0,0.24,1.5846,3.727984641
0.094,0.5,0.111111111,0.888888889,2.38,1.55,0.0,0.24,1.5846,2.840299157
2.088,0.857142857,0.166666667,4.17e-07,2.81,1.71,0.0,0.28,1.5846,4.86923172
0.66,0.857142857,0.166666667,4.17e-07,2.81,1.71,0.0,0.28,1.5846,4.695799958
5.791,0.857142857,0.166666667,4.17e-07,2.81,1.71,0.0,0.28,1.5846,5.09806659
0.248,0.857142857,0.166666667,4.17e-07,2.81,1.71,0.0,0.28,1.5846,4.231272229
0.164,0.625,0.066666667,0.533333333,2.81,1.71,0.0,0.28,1.5846,4.834102656
0.15,0.857142857,0.166666667,2.78e-07,2.81,1.71,0.0,0.28,1.5846,3.790740378
0.0321,0.637168142,0.152777778,0.222222222,1.59,0.92,0.0,1.01,2.1503,2.75
0.0321,0.637168142,0.152777778,0.32,1.59,0.92,0.0,1.01,2.1503,2.66
0.022140221,0.637168142,0.152777778,0.222222222,1.59,0.92,0.0,1.01,2.1503,2.48
0.022140221,0.637168142,0.152777778,0.3222,1.59,0.92,0.0,1.01,2.1503,2.58
0.068027211,0.608695652,0.071428571,0.571428571,1.59,0.92,0.0,1.01,2.1503,3.22
0.068027211,0.608695652,0.071428571,0.6714,1.59,0.92,0.0,1.01,2.1503,3.4
0.098,0.608695652,0.071428571,0.571428571,1.59,0.92,0.0,1.01,2.1503,3.86
0.098,0.608695652,0.071428571,0.6714,1.59,0.92,0.0,1.01,2.1503,4.32
0.022140221,0.637168142,0.152777778,0.222222222,2.44,0.95,0.35,1.2,2.0819,3.13
0.022140221,0.637168142,0.152777778,0.32,2.44,0.95,0.35,1.2,2.0819,2.98
0.022140221,0.637168142,0.152777778,0.222222222,2.44,0.95,0.35,1.2,2.0819,3.15
0.022140221,0.637168142,0.152777778,0.3222,2.44,0.95,0.35,1.2,2.0819,3.05
0.068027211,0.608695652,0.071428571,0.571428571,2.44,0.95,0.35,1.2,2.0819,3.73
0.068027211,0.608695652,0.071428571,0.6714,2.44,0.95,0.35,1.2,2.0819,3.83
0.098,0.608695652,0.071428571,0.571428571,2.44,0.95,0.35,1.2,2.0819,4.23
0.098,0.608695652,0.071428571,0.6714,2.44,0.95,0.35,1.2,2.0819,5.72
0.022140221,0.637168142,0.152777778,0.222222222,0.97,1.08,0.0,0.55,2.1734,2.17
0.022140221,0.637168142,0.152777778,0.32,0.97,1.08,0.0,0.55,2.1734,2.58
0.022140221,0.637168142,0.152777778,0.222222222,0.97,1.08,0.0,0.55,2.1734,1.98
0.022140221,0.637168142,0.152777778,0.3222,0.97,1.08,0.0,0.55,2.1734,1.03
0.068027211,0.608695652,0.071428571,0.571428571,0.97,1.08,0.0,0.55,2.1734,3.03
0.068027211,0.608695652,0.071428571,0.6714,0.97,1.08,0.0,0.55,2.1734,2.61
